EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG10212	dcp	P24171	g1787819	Dipeptidyl carboxypeptidase II
EG10213	ddlA	P0A6J8	g1786579	D-alanine:D-alanine ligase A, ADP-forming
EG10214	ddlB	P07862	g1786280	D-alanine:D-alanine ligase B, ADP-forming
EG10215	deaD	P0A9P6	g87082221	ATP-dependent RNA helicase, 50S ribosomal subunit biogenesis; translation factor W2; factor X; facilitates translation of mRNAs with 5' secondary structures; multicopy suppressor of rpsB(Ts) mutations
EG10216	dedA	P0ABP6	g1788656	Inner membrane protein in pdxB operon, function unknown
EG10217	accD	P0A9Q5	g1788655	Acetyl-CoA carboxylase, carboxyltransferase beta subunit
EG10218	dedD	P09549	g87082083	Membrane-anchored periplasmic protein involved in septation
EG10219	deoA	P07650	g1790842	Thymidine phosphorylase; homodimeric
EG10220	deoB	P0A6K6	g1790843	Phosphopentomutase; deoxyribouratase
EG10221	deoC	P0A6L0	g1790841	2-deoxy-D-ribose 5-phosphate aldolase (DERA); deoxyriboaldolase; binds selenium
EG10222	deoD	P0ABP8	g1790844	Purine nucleoside phosphorylase; PNP; hexamer
EG10223	deoR	P0ACK5	g1787063	Repressor for deo operon, nupG and tsx; binds deoxyribose-5-phosphate inducer
EG10224	dgkA	P0ABN1	g1790475	Diacylglycerol kinase
EG10225	dgt	P15723	g1786355	Deoxyguanosine 5'-triphosphate triphosphohydrolase
EG10226	dicA	P06966	g1787853	Regulatory for dicB, Qin prophage
EG10227	dicB	P09557	g1787857	Control of cell division, activates MinC, Qin prophage
EG10228	dicC	P06965	g1787852	Regulatory for dicB, Qin prophage
EG10229	flk	P15286	g1788661	Prevents premature secretion of FlgM; senses flagellar assembly stage
EG10230	dksA	P0ABS1	g1786338	RNAP-binding protein modulating ppGpp and iNTP regulation; reduces open complex half-life on rRNA promoters; removes trasncriptional roadblocks to replication
EG10231	dld	P06149	g1788454	D-lactate dehydrogenase; vinylglycolate resistance, FAD enzyme
EG10232	dmsA	P18775	g87081797	DMSO reductase subunit A, anaerobic, periplasmic
EG10233	dmsB	P18776	g1787122	DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic
EG10234	dmsC	P18777	g1787123	DMSO reductase subunit C, periplasmic; has a membrane bound anchor
EG10235	dnaA	P03004	g2367267	DNA synthesis initiator and global transcription regulator; binds DNA at DnaA boxes, binds cardiolipin and other acidic phospholipids, binds ATP
EG10236	dnaB	P0ACB0	g1790486	Replicative DNA helicase; DNA-dependent ATPase involved in DNA synthesis; binds DNA contrahelicase termination protein Tus at Ter sites; possibly involved in DNA recombination
EG10237	dnaC	P0AEF0	g1790823	DNA biosynthesis, helicase DnaB loader; dual ATP/ADP switch protein
EG10238	dnaE	P10443	g1786381	DNA polymerase III, alpha subunit; suppressor of dnaG-Ts
EG10239	dnaG	P0ABS5	g1789447	Primase for DNA replication; primer synthesis for leading- and lagging-strand synthesis; binds Zn(II)
EG10240	dnaJ	P08622	g1786197	DnaK co-chaperone; DNA-binding protein; stress-related DNA biosynthesis, responsive to heat shock; binds Zn(II)
EG10241	dnaK	P0A6Y8	g1786196	Hsp70 molecular chaperone, heat-inducible; bichaperone with ClpB for protein disaggregation
EG10242	dnaN	P0A988	g1790136	DNA polymerase III sliding clamp beta subunit; required for high processivity; required for regulatory inactivation of DnaA
EG10243	dnaQ	P03007	g1786409	DNA polymerase III epsilon subunit; streptomycin, azaserine resistant; 3' to 5' proofreading, lexA regulon
EG10244	dnaT	P0A8J2	g1790824	Primasomal protein i
EG10245	dnaX	P06710	g1786676	DNA polymerase III holoenzyme, tau and gamma ATPase subunits; gamma chain (aa 1-431) is main subunit of the clamp loader complex
EG10246	mltD	P0AEZ7	g1786405	Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein
EG10247	acpS	P24224	g1788916	ACP-CoA phosphopantetheinyltransferase; Holo-ACP synthase
EG10248	dppA	P23847	g1789966	Dipeptide/heme transport, periplasmic binding protein; recognition for transport and chemotaxis
EG10249	dsdA	P00926	g1788708	D-serine dehydratase
EG10250	dsdX	P08555	g1788707	D-serine permease; D-serine tolerance
EG10251	dut	P06968	g1790071	dUTP pyrophosphatase; dUTPase
EG10252	ebgA	P06864	g48994920	Evolved beta-galactosidase, alpha subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme
EG10253	ebgC	P0AC73	g1789458	Evolved beta-galactosidase, beta subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme
EG10254	ebgR	P06846	g1789456	ebgAC operon repressor
EG10255	eco	P23827	g1788538	Ecotin, serine protease inhibitor
EG10256	eda	P0A955	g1788156	KHG/KDPG aldolase; 2-keto-4-hydroxyglutarate aldolase and 2-keto-3-deoxy-6-phosphogluconate aldolase activities; homotrimeric; 2-keto-4-hydroxyglutarate aldolase is also known as 4-hydroxy-2-oxoglutarate aldolase. 2-keto-3-deoxy-6-phosphogluconate aldolas
EG10257	edd	P0ADF6	g1788157	Phosphogluconate dehydratase; growth on gluconate
EG10258	eno	P0A6P9	g1789141	Enolase; phosphoprotein; component of RNA degradosome
EG10259	entA	P15047	g1786812	2,3-Dihydro-2,3-dihydroxybenzoate dehydrogenase
EG10260	entB	P0ADI4	g1786811	Isochorismatase, aryl carrier protein (ArCP); also called 2,3-dihydro-2,3-dihydroxybenzoate synthase
EG10261	entC	P0AEJ2	g1786809	Isochorismate synthase
EG10262	entD	P19925	g1786797	Enterochelin synthase, component D; EntB(ArCP)/EntF-CoA phosphopantetheinyltransferase; facilitates secretion of enterobactin peptide
EG10263	entE	P10378	g1786810	Enterochelin synthase, component E; 2,3-dihydroxybenzoate (DHB)-AMP ligase; holo-EntB(ArCP)-S-DHB formation
