# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
C19A8.07c		Member of the Imp4p superfamily of proteins, which contain a sigma70-like motif implicated in RNA binding					SPAC19A8.07c	U3 snoRNP protein (predicted)		O13823							
C839.09c		Protein of unknown function					SPBC839.09c	mitochondrial ribosomal protein small subunit Mrp21		Q8WZK1							
C4F10.03c		Protein with high similarity to S. cerevisiae Trm7p, which methylates 2-prime-O-riboses in tRNA anticodon loop and is required for optimal protein synthesis activity, member of the FtsJ-like methyltransferase family, which may bind RNA					SPAC4F10.03c	2'-O-ribose methyltransferase		O36015							
C557.01		GTPase-activating protein specific for Rho1p, involved in regulation of cell wall integrity					SPBC17F3.01c	GTPase activating protein,  SPBC557.01		O74335							
C22E12.16c		Putative phosphatidylinositol 4-kinase, involved in cytokinesis					SPAC22E12.16c	pik1,  phosphatidylinositol kinase Pik1		Q10366							
C16E8.17c	EC6.2.1.-	Protein with high similarity to S. cerevisiae Lsc1p, which is the alpha subunit of succinyl-CoA synthetase (succinyl-CoA ligase, succinate thiokinase), contains a CoA-ligase domain and one CoA binding domain					SPAC16E8.17c	succinate-CoA ligase (alpha subunit)		O13750							
C557.04		Protein containing a protein kinase domain, has low similarity to S. cerevisiae Prk1p, which is a serine-threonine protein kinase involved in regulation of actin cytoskeleton organization					SPBC557.04	Ark1/Prk1 family protein kinase		Q9USS2							
C557.05		Protein containing a C-terminal arrestin (or S-antigen) domain, which form an Ig-like beta-sandwich					SPBC557.05	arrestin family		Q9USS1							
tf2-10							SPAC2E1P3.03c	Tf2-3,  retrotransposable element		Q05654							
C3G9.11c	EC4.1.1.1	Protein with high similarity to pyruvate decarboxylase isozyme 3 (S. cerevisiae Pdc6p), which is a pyruvate decarboxylase, contains a thiamine pyrophosphate enzyme N-terminal TPP binding domain and a thiamine pyrophosphate enzyme central domain					SPAC3G9.11c	pyruvate decarboxylase (predicted)		O42873							
C31G5.10		Protein containing two Myb-like DNA-binding domains, has weak similarity to S. pombe Reb1p, which is a DNA-binding termination factor for RNA polymerase I					SPAC31G5.10	Myb family		O14108							
tf2-11							SPBC1289.17	Tf2-11,  retrotransposable element,  SPBC8E4.11c,  obsolete:tf2-1,  obsolete:SPBC8E4.11c									
C3A12.01		Member of the autophagy protein Apg6 family, has low similarity to beclin (human BECN1), which binds human BCL2 and protects cells from viral-induced apoptosis and may function in antiviral host defense and as a tumor suppressor					SPAC20G8.10c	beclin family protein,  SPAC3A12.01c		P87117							
C31G5.15	EC4.1.1.65	Member of the phosphatidylserine decarboxylase family, which are involved in aminophospholipid biosynthesis, contains a C2 domain, has low similarity to a region of S. cerevisiae Psd2p, which converts phosphatidyl-L-serine to phosphatidylethanolamine					SPAC31G5.15	phosphatidylserine decarboxylase (predicted)		O14111							
C3A12.02	EC3.6.1.1	Protein with high similarity to cytoplasmic inorganic pyrophosphatase (S. cerevisiae Ipp1p), contains an inorganic pyrophosphatase domain					SPAC3A12.02	inorganic pyrophosphatase		P87118							
C31G5.19		Member of the ATPase family associated with various cellular activities, has moderate similarity to yeast Tat-binding analog 7 (S. cerevisiae Yta7p), which acts as a barrier to restrict transcriptional silencing					SPAC31G5.19	TAT-binding protein homolog		O14114							
C3A12.08		Protein of unknown function					SPAC3A12.08	conserved fungal protein		P87124							
C285.13c		Protein with weak similarity to S. cerevisiae Nup60p, which is a nuclear pore protein (nucleoporin) that tethers S. cerevisiae Nup2p to the nuclear face of the nuclear pore					SPCC285.13c	sequence orphan		O74500							
C553.08c		Protein containing an elongation factor Tu GTP binding domain, an elongation factor G C-terminal domain, and an elongation factor Tu domain 2, has moderate similarity to S. cerevisiae Ria1p, which is required for maturation of 60S ribosomal subunits					SPCC553.08c	GTPase (predicted)		O74945							
ntp1	EC3.2.1.28	Neutral trehalase, requires calcium for activity and oligomerization					SPBC660.07	alpha, alpha trehalase		O42893							
C3G6.03c		Protein containing a Maf-like protein domain, has moderate similarity to uncharacterized S. cerevisiae Yor111p					SPAC3G6.03c	Maf-like protein		O14141							
PB17E12.10c		Member of the FtsJ-like methyltransferase family, which may bind RNA, has low similarity to S. cerevisiae Mrm2p, which is a methyltransferase that methylates mitochondrial 21S rRNA					SPAPB17E12.10c	SAM-dependent methyltransferase		Q8TFH4							
misc_RNA_1.1.28			transcribed strand (GeneDB); mRNA from spc06944 but no associated ORF; strand altered 19.06.2003, evidence from microarray profile (pers comm. Jurg Bahler)				SPNCRNA.97	non-coding RNA (predicted)									
C23E6.03c	EC3.5.1.-	Member of the carbon-nitrogen hydrolase family, which hydrolyze carbon-nitrogen bonds, has low similarity to a region of n-terminal amidase (S. cerevisiae Nta1p), which is an amidase that acts in proteolysis and peptidolysis and the N-end rule pathway					SPBC23E6.03c	protein N-terminal amidase		O60178							
swi1		Protein involved in mating-type switching					SPBC216.06c	replication fork protection complex subunit Swi1		Q9UUM2							
C22E12.17c		Protein containing a putative arf GTPase activation (GAP) domain, which have C-4 class zinc fingers, has low similarity to S. cerevisiae Glo3p, which is a GTPase-activating protein (GAP) for ADP-ribosylation factors Arf1p and Arf2p					SPAC22E12.17c	GTPase activating protein		Q10367							
swi2		Protein involved in mating-type switching					SPAC1142.03c	Swi5-complex (subunit),  SPAC17G6.20c		Q10668							
scd2: ral3		Signaling scaffold protein involved in mating, sporulation, and morphogenesis					SPAC22H10.07	Ras1p-Scd1p-Scd2p-Cdc42p-Shk1p complex,  ral3		P40996							
swi4		Protein required for high-frequency mating-type switching					SPAC8F11.03	MutS family,  swi4		P26359							
C8E11.06		Protein of unknown function					SPAC8E11.06	sequence orphan		O42883							
sam1	EC2.5.1.6	Protein with high similarity to S-adenosylmethionine synthetase 2 (S. cerevisiae Sam2p), which exhibits methionine adenosyltransferase activity, contains S-adenosylmethionine synthetase N-terminal, central, and C-terminal domains					SPBC14F5.05c	S-adenosylmethionine synthetase		O60198							
swi6		Switch 6, a chromodomain protein that binds to di- and trimethylated histone H3-K9 peptides and determines mating-type donor choice through heterochromatin formation					SPAC664.01c	heterochromatin protein 1 (HP1),  SPAC824.10c		P40381							
nda4: mcm5		Component of the MCM complex required for initiation of DNA replication					SPAC1B2.05	MCM complex subunit,  nda4,  SPAC3F10.01		P41389							
C31G5.21		Protein of unknown function					SPAC31G5.21	conserved eukaryotic protein		Q92363							
C144.10c		Protein probably involved in the acylation of inositol during GPI-anchored protein synthesis					SPAC144.10c	pig-W		Q9UTL4							
C1142.01		Member of the DUF654 protein of unknown function family, has low similarity to uncharacterized human KIAA1049					SPAC1142.01	conserved eukaryotic protein,  SPAC17G6.18		O13796							
C3H7.17c		Protein containing an RNA recognition motif (RRM, RBD, or RNP), has moderate similarity to S. cerevisiae Ynr054p, which functions in cell growth and maintenance					SPBC28E12.05	U3 associated factor,  SPBC3H7.17c		O74362							
C1142.04		Protein of unknown function, contains putative coiled-coil regions, appears to localize to the nucleus					SPAC1142.04	nucleolar complex protein (predicted)		Q9P7G0							
C3A12.12		Member of the ATP11 protein family, which are F1-ATP synthase assembly proteins, has moderate similarity to F1-ATP synthase assembly protein (S. cerevisiae Atp11p), which has chaperone activity					SPAC3A12.12	F1 ATPase chaperone		P87127							
C1142.05		Integral membrane component of the high-affinity copper transport complex, interacts with Ctr4p					SPAC1142.05	copper transporter complex (subunit) (predicted)		Q9P7F9							
C1142.06		Protein with high similarity to arsenite transporter ATP-binding homolog 1 (human ASNA1), which is a soluble putative arsenite transporter that may serve in nucleocytoplasmic transport, member of the anion-transporting ATPase family					SPAC1142.06	ATPase		Q9P7F8							
mpr1: spy1		Phosphorelay protein involved in oxidative stress signal transduction					SPBC725.02	speedy,  spy1		O94321							
C3A12.19		Protein of unknown function	mitochondrial ribosomal protein subunit				SPAC3A12.19	mitochondrial ribosomal protein									
C530.06c		Putative translation initiation factor 3, alpha subunit, eIF3/p135					SPBC530.06c	translation initiation factor eIF3 alpha subunit (predicted)		O59742							
C30.02c	EC2.7.1.78	Protein with moderate similarity to S. cerevisiae Kti12p, which is involved in resistance to Kluyveromyces lactis killer toxin					SPAC30.02c	elongator associated protein (predicted)		Q9P7V4							
C553.09c		DNA polymerase alpha B subunit, associates with origin recognition complex and recruits DNA pol alpha to replication origins					SPCC553.09c	DNA polymerase alpha B-subunit,  pol12		O74946							
C663.05c		Histone chaperone, involved in telomeric silencing and nucleosome assembly					SPCC663.05c	chaperone activity		O74515							
sec10		Component of the exocyst complex, which is involved in septum disassembly, cell separation, and exocytosis, homologous to S. cerevisiae Sec10ps					SPAC13F5.06c	exocyst complex subunit Sec10p		O13705							
sec13		Protein with high similarity to S. cerevisiae Sec13p, which is a component of the COPII coat of vesicles involved in endoplasmic reticulum to Golgi transport, contains six WD domains (WD-40 repeat), which may mediate protein-protein interactions					SPBC215.15	COPII-coated vesicle component		O94319							
C23E6.04c		Protein with weak similarity to S. cerevisiae Utp10p, which is a component of the 80S U3 snoRNA complex (SSU processome) required for 18S rRNA biogenesis					SPBC23E6.04c	U3 snoRNP protein		O60179							
sec14		Phosphatidylinositol transfer protein involved in normal Golgi secretory function, cell septation, and sporulation					SPAC3H8.10	sec14 cytosolic factor family,  sec14		Q10137							
C297.04c		Member of the SET domain containing family					SPCC297.04c	SET domain		Q9Y7Q6							
sec15		Member of the exocyst complex subunit Sec15l1-like family, has weak similarity to uncharacterized rat Sec15l1					SPCC1183.01	exocyst complex subunit Sec15p (predicted),  SPCC1672.13		O75006							
C4F10.05c		Protein containing a biotin or lipoate A or B protein ligase family domain, has a region of high similarity to a region of S. cerevisiae Lip2p					SPAC4F10.05c	lipoate-protein ligase B		O36017							
C8E11.11		Protein with moderate similarity to S. cerevisiae Rmt2p, which is a protein arginine methyltransferase					SPAC26A3.17c	N-methyltransferase (predicted),  SPAC8E11.11		Q10170							
sec16		Protein of unknown function, has weak similarity to uncharacterized C. neoformans Cna01360_D					SPAC29B12.07	multidomain vesicle coat component Sec16		O14029							
hus1		DNA damage checkpoint protein					SPAC20G4.04c	checkpoint clamp complex protein		P78955							
sec17		Protein with moderate similarity to S. cerevisiae Sec17p, which is required for fusion of vesicles to target membranes and for vacuolar fusion					SPAC959.02	alpha SNAP (predicted)		Q9P4X4							
sec18		Protein with high similarity to S. cerevisiae Sec18p, which is required for vacuolar and vesicle-target membrane fusion, member of the ATPase family associated with various cellular activities, contains a CDC48 N-terminal domain and a CDC48 domain 2					SPAC1834.11c	AAA family ATPase		Q9P7Q4							
C2D10.15c	EC3.1.1.29	Protein containing a peptidyl-tRNA hydrolase domain, has low similarity to S. cerevisiae Pth1p, which is a peptidyl-tRNA hydrolase					SPBC2D10.15c	peptidyl-tRNA hydrolase		O74806							
C17G8.02		Protein containing an inosine-uridine preferring nucleoside hydrolase domain, has moderate similarity to uncharacterized S. pombe Spbc1683.06cp					SPAC17G8.02	uridine ribohydrolase (predicted)		Q10314							
C17D11.02c		Protein containing a C3HC4 type (RING) zinc finger, which may mediate protein-protein interactions, has low similarity to HRD1 protein (human SYVN1), which is an ubiquitin ligase that degrades proteins and protects against stress-induced apoptosis					SPBC17D11.02c	synoviolin (predicted)		O74757							
C3G9.13c	EC6.1.1.2	Member of the class I tryptophanyl and tyrosyl (W and Y) tRNA synthetase family, has moderate similarity to mitochondrial tryptophanyl-tRNA synthetase (S. cerevisiae Msw1p), which is a putative tryptophan-tRNA ligase					SPAC3G9.13c	tryptophan-tRNA ligase		O42875							
C17G8.05		Protein of unknown function					SPAC17G8.05	sequence orphan		Q10317							
C16C9.01c		Member of the PfkB family of carbohydrate kinases, has low similarity to S. cerevisiae Mak32p, which is required for structural stability of L-A double-stranded RNA containing particles					SPAC16C9.01c	pfkB family carbohydrate kinase,  SPAC4G8.14c		Q09839							
C17G8.07		Member of the YEATS family, which may stimulate transcription, has moderate similarity to S. cerevisiae Yaf9p, which is involved in sensitivity to UV irradiation					SPAC17G8.07	chromatin remodeling complex (predicted)		Q10319							
C776.10c		Protein containing a conserved oligomeric Golgi complex COG6 domain, has weak similarity to human COG6, which forms a complex with COG2 and COG3, and may play a role in Golgi function and ER to Golgi transport					SPBC776.10c	Golgi transport complex (peripheral subunit) (predicted)		O94677							
C17G8.09		Component of the Set1C complex, which is involved in methylation of histone H3 on Lys4					SPAC17G8.09	Csp1 family protein		Q10321							
C530.07c		Protein of unknown function					SPBC530.07c	TENA/THI domain		O59743							
C30.03c		Translin 1, a protein that binds single-stranded RNA (GU) and DNA (GT) repeats, most likely involved in RNA metabolism					SPAC30.03c	translin-like protein		Q9P7V3							
rps15a-2: rps22-2		40S ribosomal protein S15a or S22					SPAC5D6.01	40S ribosomal protein S15a,  rps22-2,  rps15a-2		O14469							
C22A12.01c		Protein containing a DNA repair metallo-beta-lactamase domain, has low similarity to S. cerevisiae Pso2p, which is a DNA repair protein involved in repair of interstrand crosslinks					SPAC22A12.01c	DNA 5' exonuclease (predicted),  SPAC56F8.17c,  snm1		Q10264							
trr1: caf4	EC1.6.4.5	Thioredoxin reductase					SPBC3F6.03	thioredoxin reductase,  caf4		Q92375							
C663.06c		Protein containing a short chain dehydrogenase domain, has low similarity to S. cerevisiae Ayr1p, which is a 1-Acyl dihydroxyacetone phosphate reductase					SPCC663.06c	short chain dehydrogenase (predicted)									
spa1		Ornithine decarboxylase antizyme, involved in the degradation of ornithine decarboxylase					SPBC577.14c	ornithine decarboxylase antizyme Spa1,  spa		Q9USQ5							
P8A3.03		Member of the ZIP zinc transporter family, which may be metal transporters, has low similarity to S. cerevisiae Yil023p, which functions as a bidirectional zinc transporter to maintain zinc ion homeostasis					SPAP8A3.03	ZIP zinc transporter domain		Q9UT11							
misc_RNA_1.1.42			transcribed strand (GeneDB); mRNA from spc07037; not associated with an ORF; possibly spurious, expression low on both strands				SPNCRNA.123	non-coding RNA (predicted)									
P8A3.05		Protein of unknown function, has a region of weak similarity to translation elongation factor 1 alpha (S. pombe Spbc2g5.08p)					SPAP8A3.05	translation release factor (predicted)		Q9UT10							
P8A3.06		RNA binding protein which plays a role in mRNA splicing					SPAP8A3.06	U2AF small subunit (U2AF-23) (PMID 12374752)		Q09176							
C5H10.11.A	EC2.4.1.-	Protein with high similarity to S. pombe Gmh3p, which is an alpha-1,2-galactosyltransferase that catalyzes the transfer of galactose to mannose residues of the N-linked core oligosaccharides, member of the galactosyl transferase GMA12 or MNN10 family					SPAC5H10.11	alpha-1, 2-galactosyltransferase Gmh1		Q09679							
sec21		Member of the adaptin N-terminal region-containing family, contains two HEAT repeats, which may act as protein interaction surfaces, has moderate similarity to mouse Copg, which is a subunit of the coatomer complex on COP I vesicles that binds mouse Cdc42					SPAC57A7.10c	coatomer gamma subunit (predicted)		P87140							
sec22		Protein with high similarity to S. cerevisiae Sec22p, which is a v-SNARE homolog involved in fusion of ER-to-Golgi transport vesicles, member of the synaptobrevin family, which are intrinsic membrane proteins found in small synaptic vesicles					SPBC2A9.08c	SNARE (R-type)		Q9Y7L0							
tlg1		Member of the SNARE domain containing family, has low similarity to syntaxin homolog (t-SNARE, S. cerevisiae Tlg1p), which is involved in efficient endocytosis and in maintenance of resident proteins in the trans-Golgi network					SPBC36B7.07	SNARE		Q9HGN3							
PB17E12.12c		Member of the mitochondrial carrier protein family of membrane transporters, has low similarity to S. cerevisiae Leu5p, which is a putative mitochondrial transport protein possibly involved in the transport of coenzyme A to the mitochondrial matrix					SPAPB17E12.12c	mitochondrial transporter		Q8TFH2							
C5H10.11.B							NULL_SPAC5H10.11.B										
tlg2		Member of the SNARE domain containing family, has low similarity to syntaxin homolog (t-SNARE, S. cerevisiae Tlg2p), which is involved in efficient endocytosis and in maintenance of resident proteins in the trans-Golgi network					SPAC823.05c	SNARE		Q9P6P1							
C30D11.03		Protein containing a DEAD/DEAH box helicase domain and a helicase conserved C-terminal domain, has moderate similarity to S. cerevisiae Drs1p, which is an RNA helicase involved in rRNA processing and 60S ribosomal subunit biogenesis					SPAC30D11.03	DEAD/DEAH box helicase		Q09903							
sec24		Protein with similarity to S. cerevisiae Sec24p, which is a component of the COPII coat of vesicles that is involved in endoplasmic reticulum to Golgi transport					SPAC22F8.08	GTPase activating protein (predicted)		Q9UUI5							
sec26		Member of the adaptin N-terminal region-containing and DUF1606 domain of unknown function families, contains two HEAT repeats, which may act as protein binding surfaces, has moderate similarity to S. cerevisiae Sec26p, which acts in retrograde transport					SPBC146.14c	coatomer beta subunit (predicted),  SPBC337.01c		Q9UUF7							
sec27		Protein with high similarity to coatomer protein complex subunit beta 2 (human COPB2), which is part of a Golgi coatomer complex, member of the coatomer WD associated domain containing family, contains six WD domains (WD-40 repeats)					SPBC16C6.13c	coatomer beta' subunit (predicted),  obsolete:SPBC244.03		O42937							
C926.05c		Protein containing a DnaJ domain, which are part of a chaperone (protein folding) system that mediates interaction with heat shock proteins, and a CSL zinc finger domain, has low similarity to uncharacterized human ZCSL3					SPAC926.05c	zinc finger protein		Q9UUG3							
sec28		Member of the coatomer epsilon subunit family, has low similarity to coatomer protein complex subunit epsilon (human COPE), which is a component of the coatomer complex (COPI) involved in intracellular protein transport					SPBC24C6.05	coatomer epsilon subunit (predicted)		O74767							
C30D11.09		Component of the Cdc5p-associated complex, possibly involved in pre-mRNA splicing					SPAC30D11.09	conserved eukaryotic protein		Q09909							
C17G8.12		Protein of unknown function					SPAC17G8.12	sequence orphan		Q10324							
C17D11.03c		Member of the bacterial carboxymuconolactone decarboxylase family, which are involved in protocatechuate catabolism, has moderate similarity to uncharacterized C. glabrata Cagl0c04873gp					SPBC17D11.03c	hypothetical protein		O74758							
C16C9.02c		Protein with high similarity to S. cerevisiae Meu1p, which is a protein that regulates alcohol dehydrogenase II (S. cerevisiae Adh2p) gene expression, contains a phosphorylase family 2 domain					SPAC16C9.02c	S-methyl-5-thioadenosine phosphorylase		Q09816							
C3A11.10c	EC3.4.13.19	Member of the membrane dipeptidase (peptidase family M19) family, has moderate similarity to membrane dipeptidase (renal dipeptidase, human DPEP1), which is a zinc-dependent cell surface metalloprotease that may be associated with Wilms tumor					SPAC3A11.10c	membrane dipeptidase (predicted)		O14124							
C16D10.02		tRNA (guanosine) methyltransferase 11, putative DNA-(amino)methyltransferase					SPBC16D10.02	tRNA (guanosine) methyltransferase		O94636							
C16D10.03		Glycoprotein endopeptidase					SPBC16D10.03	peptidase family M22		O94637							
C30.04c		Member of the ABC transporter transmembrane region-containing family, contains two ABC transporter domains, has low similarity to S. cerevisiae Ybt1p					SPAC30.04c	ABC transporter family		Q9P7V2							
C22A12.02c		Protein of unknown function					SPAC22A12.02c	sequence orphan		O13894							
C16D10.06		Member of the ZIP zinc transporter family, which may be metal transporters, has moderate similarity to S. cerevisiae Zrt1p, which is a high-affinity zinc transport protein					SPBC16D10.06	ZIP zinc transporter domain		O94639							
P8A3.10		Member of the MSF1-like conserved region containing family, has moderate similarity to unprocessed 1 (S. cerevisiae Ups1p), which plays roles in mitochondrial morphology and processing of S. cerevisiae Mgm1p via inner membrane sorting regulation					SPAP8A3.10	conserved eukaryotic protein		Q9UT07							
ubc12		Putative ubiquitin conjugating enzyme, has high similarity to human UBC12					SPCC777.10c	ubiquitin conjugating enzyme		O74549							
ubc13	EC6.3.2.19	Protein involved in post-replication DNA repair and resistance to DNA damaging agents					SPAC11E3.04c	ubiquitin conjugating enzyme,  spu13		O13685							
PYUG7.05		Member of the delta 1-pyrroline-5-carboxylate reductase (P5CR) family, has low similarity to delta-1-pyrroline-5-carboxylate reductase (P5C reductase) (S. cerevisiae Pro3p), which catalyzes the third and last step in proline biosynthesis pathway					SPAPYUG7.05	delta 1-pyrroline-5-carboxylate reductase (predicted)		Q9P7Y7							
C663.07c							SPCC663.07c	short chain dehydrogenase pseudogene									
ubc14		Protein with high similarity to S. cerevisiae Ubc4p, which is a ubiquitin-conjugating (E2) enzyme involved in degradation of short-lived and abnormal proteins, contains a ubiquitin-conjugating enzyme domain					SPAC1250.03	ubiquitin conjugating enzyme		Q9UTN8							
PYUG7.06		Member of the DUF862 domain of unknown function family, has low similarity to uncharacterized rat Pnas-4					SPAPYUG7.06										
C736.02		Protein of unknown function					SPCC736.02	sequence orphan		O74951							
C869.01		Member of the amidase family, which catalyze hydrolysis of amides, has a region of low similarity to a region of S. cerevisiae Ymr293p, which is a protein that has similarity to amidases and may be involved in mitochondrial function					SPAC869.01	amidase (predicted)		Q9URY4							
ubc15	EC6.3.2.19	Putative ubiquitin-conjugating enzyme that is involved in negative regulation of heterochromatin silencing by affecting histone H3 methylation					SPBC1105.09	ubiquitin conjugating enzyme		Q9Y818							
sec31		Protein required for sporulation, protein secretion, and cell-cycle progression					SPBC8D2.20c	COPII-coated vesicle component (predicted)		O13637							
ubc16	EC6.3.2.19	Protein containing a ubiquitin-conjugating enzyme domain, has moderate similarity to ubiquitin-conjugating enzyme E2D 2 (human UBE2D2), which marks cellular proteins for degradation					SPBC1198.09	ubiquitin conjugating enzyme		Q9P6I1							
C30D11.11		Member of the hemolysin-III related family, has a region of low similarity to a region of S. cerevisiae Ylr023p, which plays a role in the response to zinc ion and may be involved in zinc homeostasis					SPAC30D11.11	conserved protein (broad species distribution)		Q09910							
C736.05		Protein of unknown function					SPCC736.05	wtf element									
C869.04		Member of the acetamidase and formamidase protein family, which may form homodimers, has high similarity to uncharacterized C. albicans Orf19.1641p					SPAC869.04	formamidase-like protein		Q9URY7							
C736.06		Member of the tRNA synthetases class II (asparagine, aspartic acid and lysine) family, contains an OB-fold nucleic acid binding domain, has moderate similarity to C. elegans DRS-2, which is involved in protein binding					SPCC736.06	aspartate-tRNA ligase		O94242							
rpl36a		60S ribosomal protein L42					SPAC15E1.03	rpl36a,  60S ribosomal protein L36/L42		Q9UTI8							
C736.08		Protein of unknown function, has a region of low similarity to a region of recombining binding protein suppressor of hairless-like (mouse Rbpsuhl), which is a transcription factor that may play a role in signal transduction					SPCC736.08	DNA binding (predicted)		O74954							
C23E6.06c	EC3.5.4.25	Protein with high similarity to DBP synthase (S. cerevisiae Rib3p), which has roles in the biosynthesis of riboflavin and mitochondrial respiration, member of the 3,4-dihydroxy-2-butanone 4-phosphate (DHBP) synthase familybifunctional enzyme					SPBC23E6.06c	3, 4-Dihydroxy-2-butanone 4-phosphate synthase		O60181							
C4F10.07c		Protein of unknown function, appears to localize to the nucleolar region					SPAC4F10.07c	autophagy protein (predicted)		O36019							
C869.08	EC2.1.1.77	Protein with high similarity to protein L-isoaspartyl(D-aspartyl) carboxyl O-methyltransferase (human PCMT1), which catalyzes the methylation of aspartate residues of proteins, member of the protein-L-isoaspartate (D-aspartate) O-methyltransferase family					SPAC869.08	pcm2,  protein-L-isoaspartate O-methyltransferase (predicted)		Q9URZ1							
P15E9.02c		Protein of unknown function					SPAPB15E9.02c	sequence orphan		Q8TFG8							
C869.09		Protein of unknown function, has moderate similarity to uncharacterized S. pombe Spac11d3.01cp					SPAC869.09	hypothetical protein		Q9URZ2							
C926.06c		Protein containing five leucine rich repeats, which mediate protein-protein interactions					SPAC926.06c	conserved eukaryotic protein		Q9UUG2							
gcs1	EC6.3.2.2	Putative gamma-glutamylcysteine synthetase					SPAC22F3.10c	glutamate--cysteine ligase		Q09768							
rpl27-2: rpl27b		60S ribosomal protein L27B					SPCC74.05	60S ribosomal protein L27,  rpl27-2		O74538							
sap1		Essential DNA-binding protein required for growth and involved in mating type switching					SPCC1672.02c	switch-activating protein Sap1p		P40847							
C17D11.04c		Member of the PHD-finger containing family, which may be involved in chromatin-mediated transcription regulation, has a region of low similarity to a region of C. elegans LIN-49, which is a bromodomain protein that functions in hindgut development					SPBC17D11.04c	zinc finger protein		O74759							
C3G9.15c		Protein of unknown function, has a region of high similarity to a region of C. elegans Y49F6B.2, which is a protein involved in epithelium morphogenesis, gametogenesis, and positive growth regulation					SPAC3G9.15c	conserved eukaryotic protein		O42877							
tf2-13-pseudo							SPCC1494.11c	Tf2-13-pseudo,  retrotransposable element: pseudo,  obsolete:Tf-pseudoIII									
syf1: cwf3		Probable spliceosomal subunit, component of a 40S snRNP-containing complex					SPBC211.02c	nineteen complex (Ntc) (putative),  syf1		Q9P7R9							
C3F10.11c		Putative ABC multidrug or ion efflux transporter					SPAC3F10.11c	ABC transporter family		Q10185							
C16D10.10		Member of the cytidine and deoxycytidylate deaminase zinc-binding region family, contains one phosphoribulokinase or uridine kinase family domain, has a region of high similarity to a region of S. cerevisiae Tad2p					SPBC16D10.10	tRNA specific adenosine deaminase subunit (predicted)		O94642							
C3A11.11c		Protein with high similarity to pyridoxal reductase (S. pombe Plr1p), which is an oxidoreductase involved in pyridoxine biosynthesis, member of the aldo-keto reductase family, which includes some related monomeric NADPH-dependent oxidoreductases					SPAC3A11.11c	aldo/keto reductase (predicted)		O14125							
C530.09c		Protein of unknown function, has a region of low similarity to a region of S. cerevisiae Mrl1p, which may act as a sorting receptor in the delivery of vacuolar hydrolases S. cerevisiae Pep4p and S. cerevisiae Prc1p					SPBC530.09c	cation dependent mannose-6-phosphate cargo receptor (predicted)		O59745							
