CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG12994	FBan0012994	FBgn0040877	CG12994	CG12994	
CG3240	FBan0003240	FBgn0026778	Rad1	Rad1	
CG2512	FBan0002512	FBgn0003885	&agr;Tub84D	&agr;-Tubulin at 84D	
CG12995	FBan0012995	FBgn0030826	CG12995	CG12995	
CG3241	FBan0003241	FBgn0005616	msl-2	male-specific lethal 2	FBgn0001317,FBgn0002852
CG3242	FBan0003242	FBgn0004892	sob	sister of odd and bowl	
CG12996	FBan0012996	FBgn0030835	CG12996	CG12996	
CG12997	FBan0012997	FBgn0030831	CG12997	CG12997	
CG12998	FBan0012998	FBgn0030829	CG12998	CG12998	FBgn0061372
CG3244	FBan0003244	FBgn0031629	CG3244	CG3244	
CG3245	FBan0003245	FBgn0025573	PpN58A	Protein phosphatase N at 58A	
CG3246	FBan0003246	FBgn0031538	CG3246	CG3246	
CG2519	FBan0002519	FBgn0037336	CG2519	CG2519	
CG3248	FBan0003248	FBgn0031536	CG3248	CG3248	
CG3249	FBan0003249	FBgn0029764	CG3249	CG3249	FBgn0047280
CG10021	FBan0010021	FBgn0004893	bowl	brother of odd with entrails limited	FBgn0014041
CG10023	FBan0010023	FBgn0020440	Fak56D	Focal Adhesion Kinase	
CR18748	FBan0018748	FBgn0042105	CR18748	CR18748	
CG10026	FBan0010026	FBgn0032785	CG10026	CG10026	
CG10029	FBan0010029	FBgn0037498	CG10029	CG10029	
CG2520	FBan0002520	FBgn0026210	lap	like-AP180	FBgn0011467,FBgn0026062,FBgn0047251
CG3250	FBan0003250	FBgn0010401	Os-C	Os-C	
CG2522	FBan0002522	FBgn0010391	Gtp-bp	GTP-binding protein	FBgn0025711,FBgn0030267
CG3251	FBan0003251	FBgn0031622	CG3251	CG3251	
CG3252	FBan0003252	FBgn0029762	CG3252	CG3252	FBgn0045954
CG3253	FBan0003253	FBgn0041706	CG3253	CG3253	FBgn0034977
CG3254	FBan0003254	FBgn0031530	pgant2	polypeptide GalNAc transferase 2	
CG2525	FBan0002525	FBgn0026417	Hus1-like	Hus1-like	
CG2528	FBan0002528	FBgn0032969	CG2528	CG2528	
CG3257	FBan0003257	FBgn0034978	CG3257	CG3257	FBgn0027764
CG3258	FBan0003258	FBgn0000137	ase	asense	
CG3259	FBan0003259	FBgn0038221	CG3259	CG3259	
CG10031	FBan0010031	FBgn0031563	CG10031	CG10031	
CG10032	FBan0010032	FBgn0037493	CG10032	CG10032	
CG10033	FBan0010033	FBgn0000721	for	foraging	FBgn0000443,FBgn0010629,FBgn0031555,FBgn0044607,FBgn0063202,FBgn0066013
CG10034	FBan0010034	FBgn0000964	tj	traffic jam	FBgn0032786
CG10035	FBan0010035	FBgn0038028	CG10035	CG10035	FBgn0025945
CG10036	FBan0010036	FBgn0015524	otp	orthopedia	FBgn0034559,FBgn0047081
CG10037	FBan0010037	FBgn0003995	vvl	ventral veins lacking	FBgn0000285,FBgn0003146,FBgn0011727
CG10038	FBan0010038	FBgn0038013	CG10038	CG10038	
CG10039	FBan0010039	FBgn0031581	CG10039	CG10039	
CG1800	FBan0001800	FBgn0039861	pasha	partner of drosha	
CG2530	FBan0002530	FBgn0010313	corto	corto	FBgn0010917,FBgn0011464,FBgn0011465,FBgn0016125,FBgn0066000
CG1801		FBgn0031171	CG1801	CG1801	
CG3260	FBan0003260	FBgn0021875	Zfrp8	Zinc finger protein RP-8	FBgn0034981
CG1803	FBan0001803	FBgn0030362	regucalcin	regucalcin	
CG2533	FBan0002533	FBgn0030319	CG2533	CG2533	FBgn0063703
CG3262	FBan0003262	FBgn0032986	CG3262	CG3262	
CG1804	FBan0001804	FBgn0039862	kek6	kek6	
CG3263	FBan0003263	FBgn0000275	Pka-R1	cAMP-dependent protein kinase R1	FBgn0040635
CG2534	FBan0002534	FBgn0000340	cno	canoe	FBgn0000465,FBgn0005637,FBgn0046384
CG1806	FBan0001806	FBgn0030360	CG1806	CG1806	
CG3264	FBan0003264	FBgn0034712	CG3264	CG3264	
CG3265	FBan0003265	FBgn0027066	Eb1	Eb1	FBgn0010578
CG1809	FBan0001809	FBgn0033423	CG1809	CG1809	
CG3267	FBan0003267	FBgn0042083	CG3267	CG3267	
CG3268	FBan0003268	FBgn0028579	phtf	phtf	FBgn0028488
CG3269	FBan0003269	FBgn0014009	Rab2	Rab-protein 2	
CG10041	FBan0010041	FBgn0038014	CG10041	CG10041	
CG10042	FBan0010042	FBgn0038016	MBD-R2	MBD-R2	FBgn0038015
CG10043	FBan0010043	FBgn0015803	rtGEF	rho-type guanine exchange factor	
CG10045	FBan0010045	FBgn0001149	GstD1	Glutathione S transferase D1	FBgn0010045
CG10047	FBan0010047	FBgn0028400	SytIV	Synaptotagmin IV	
CG1810	FBan0001810	FBgn0030556	mRNA-capping-enzyme	mRNA-capping-enzyme	
CG2540	FBan0002540	FBgn0030411	CG2540	CG2540	
CG1812	FBan0001812	FBgn0031119	CG1812	CG1812	
CG3270	FBan0003270	FBgn0033093	CG3270	CG3270	
CG3271	FBan0003271	FBgn0033088	CG3271	CG3271	
CG2543	FBan0002543	FBgn0030407	CG2543	CG2543	
CG1814	FBan0001814	FBgn0033426	CG1814	CG1814	
CG1815	FBan0001815	FBgn0039863	CG1815	CG1815	
CG3273	FBan0003273	FBgn0013732	sced	scrambled	FBgn0033082
CG3274	FBan0003274	FBgn0042085	Bap170	Brahma associated protein 170kD	FBgn0027541
CG1817	FBan0001817	FBgn0004370	Ptp10D	Protein tyrosine phosphatase 10D	FBgn0019946
CG1818	FBan0001818	FBgn0033428	Updo	Updo	
CG1819	FBan0001819	FBgn0031162	CG1819	CG1819	
CG3277	FBan0003277	FBgn0031518	CG3277	CG3277	
CG3278	FBan0003278	FBgn0032988	Tif-IA	Tif-IA	FBgn0032989,FBgn0032990
CG3279	FBan0003279	FBgn0035156	CG3279	CG3279	
CG10050	FBan0010050	FBgn0037492	CG10050	CG10050	
CR18775	FBan0018775	FBgn0020646	Lcp65A&PSgr;	Lcp65A&PSgr;	FBgn0042116
CG10051	FBan0010051	FBgn0034437	CG10051	CG10051	
CG10052	FBan0010052	FBgn0020617	Rx	Retinal Homeobox	FBgn0000530,FBgn0003998,FBgn0005641
CG10053	FBan0010053	FBgn0037490	CG10053	CG10053	FBgn0046243,FBgn0046246
CG10055	FBan0010055	FBgn0037482	CG10055	CG10055	
CG10059	FBan0010059	FBgn0037481	MAGE	MAGE	
CG1821	FBan0001821	FBgn0025286	RpL31	Ribosomal protein L31	FBgn0033430,FBgn0062997
CG1822	FBan0001822	FBgn0014133	bif	bifocal	
CG3280	FBan0003280	FBgn0036017	CG3280	CG3280	
CG3281	FBan0003281	FBgn0037967	CG3281	CG3281	FBgn0044626
CG1824	FBan0001824	FBgn0030403	CG1824	CG1824	
CG3283	FBan0003283	FBgn0014028	SdhB	Succinate dehydrogenase B	
CG1825	FBan0001825	FBgn0010342	Map60	Microtubule-associated protein 60	FBgn0015027
CG1826	FBan0001826	FBgn0030228	CG1826	CG1826	
CG3284	FBan0003284	FBgn0004855	RpII15	RNA polymerase II 15kD subunit	
CG2555	FBan0002555	FBgn0030398	CG2555	CG2555	
CG3285	FBan0003285	FBgn0031522	CG3285	CG3285	
CG2556	FBan0002556	FBgn0030396	CG2556	CG2556	
CG1827	FBan0001827	FBgn0033431	CG1827	CG1827	
CG1828	FBan0001828	FBgn0002183	dre4	dre4	FBgn0002182
CG1829	FBan0001829	FBgn0031126	Cyp6v1	Cyp6v1	
CG3287	FBan0003287	FBgn0028954	CG3287	CG3287	FBgn0033106
CG3288	FBan0003288	FBgn0037030	CG3288	CG3288	
CG2559	FBan0002559	FBgn0002562	Lsp1&agr;	Larval serum protein 1 &agr;	
CG3289	FBan0003289	FBgn0016698	Ptpa	Phosphotyrosyl phosphatase activator	
CG10060	FBan0010060	FBgn0001104	G-i&agr;65A	G protein &agr;i subunit 65A	
CG10061	FBan0010061	FBgn0011020	l(3)s2214	lethal (3) s2214	FBgn0037480
CG10062	FBan0010062	FBgn0034439	CG10062	CG10062	FBgn0044645
CG10063	FBan0010063	FBgn0035727	CG10063	CG10063	FBgn0063698
CG10064	FBan0010064	FBgn0035724	CG10064	CG10064	
CG10067	FBan0010067	FBgn0000044	Act57B	Actin 57B	FBgn0019861,FBgn0050294,FBgn0065030
CG10068	FBan0010068	FBgn0037473	CG10068	CG10068	
CG10069	FBan0010069	FBgn0034611	CG10069	CG10069	
CG1830	FBan0001830	FBgn0011754	PhK&ggr;	Phosphorylase kinase &ggr;	FBgn0044448
CG2560	FBan0002560	FBgn0030394	CG2560	CG2560	
CG3290	FBan0003290	FBgn0034711	CG3290	CG3290	
CG1832	FBan0001832	FBgn0032979	CG1832	CG1832	
CG3291	FBan0003291	FBgn0020261	pcm	pacman	
CG3292	FBan0003292	FBgn0034710	CG3292	CG3292	
CG1835	FBan0001835	FBgn0031127	CG1835	CG1835	FBgn0044653,FBgn0063222
CG1836	FBan0001836	FBgn0026777	Rad23	Rad23	
CG3294	FBan0003294	FBgn0031628	CG3294	CG3294	
CG3295	FBan0003295	FBgn0034573	CG3295	CG3295	
CG1837	FBan0001837	FBgn0030329	CG1837	CG1837	FBgn0027709
CG1838	FBan0001838	FBgn0026199	myoglianin	myoglianin	FBgn0064928
CG3297	FBan0003297	FBgn0002778	mnd	minidiscs	FBgn0002474,FBgn0004717
CG1839	FBan0001839	FBgn0030555	CG1839	CG1839	
CG3298	FBan0003298	FBgn0028426	JhI-1	Juvenile hormone-inducible protein 1	FBgn0033506
CG3299	FBan0003299	FBgn0004397	Vinc	Vinculin	FBgn0015840,FBgn0024918
CG10071	FBan0010071	FBgn0016726	RpL29	Ribosomal protein L29	FBgn0025285,FBgn0025305,FBgn0061374
CG10072	FBan0010072	FBgn0010851	sgl	sugarless	FBgn0002456,FBgn0010929,FBgn0015500
CG10073	FBan0010073	FBgn0034440	CG10073	CG10073	
CG10075	FBan0010075	FBgn0035722	CG10075	CG10075	
CG10076	FBan0010076	FBgn0003475	spir	spire	FBgn0029122,FBgn0032854,FBgn0040997
CG10077	FBan0010077	FBgn0035720	CG10077	CG10077	FBgn0047244,FBgn0063174
CG10078	FBan0010078	FBgn0041194	Prat2	Phosphoribosylamidotransferase 2	FBgn0035717
CG10079	FBan0010079	FBgn0003731	Egfr	Epidermal growth factor receptor	FBgn0010599,FBgn0022793
CR31130	FBan0031130	FBgn0051130	CR31130	CR31130	FBgn0060151
CR30406	FBan0030406	FBgn0050406	CR30406	CR30406	FBgn0011873,FBgn0050204,FBgn0060214
CR30407	FBan0030407	FBgn0050407	CR30407	CR30407	FBgn0011873,FBgn0050205,FBgn0060213
CG1840	FBan0001840	FBgn0030351	CG1840	CG1840	FBgn0062464
CG1841	FBan0001841	FBgn0030330	CG1841	CG1841	
CG1842	FBan0001842	FBgn0013813	Dhc98D	Dynein heavy chain at 89D	
CG1844	FBan0001844	FBgn0030350	SelG	Selenoprotein G	FBgn0064979
CG1845	FBan0001845	FBgn0033155	CG1845	CG1845	
CG2574	FBan0002574	FBgn0030386	CG2574	CG2574	
CG1847	FBan0001847	FBgn0030345	CG1847	CG1847	
CG1848	FBan0001848	FBgn0041203	LIMK1	LIM-kinase1	FBgn0030402
CG2577	FBan0002577	FBgn0030384	CG2577	CG2577	
CG10080	FBan0010080	FBgn0034641	CG10080	CG10080	FBgn0046447,FBgn0062889
CG10081	FBan0010081	FBgn0034441	CG10081	CG10081	
CG10082	FBan0010082	FBgn0034644	CG10082	CG10082	FBgn0046449
CG10083	FBan0010083	FBgn0036372	CG10083	CG10083	
CG10086	FBan0010086	FBgn0037517	CG10086	CG10086	
CG10089	FBan0010089	FBgn0036369	CG10089	CG10089	
CR31143	FBan0031143	FBgn0051143	CR31143	CR31143	FBgn0060164
CG18729	FBan0018729	FBgn0061476	zwilch	zwilch	FBgn0036933,FBgn0042214
CG1850	FBan0001850	FBgn0033154	CG1850	CG1850	
CG1851	FBan0001851	FBgn0026602	Ady43A	Ady43A	FBgn0033152
CG1854	FBan0001854	FBgn0026389	Or43a	Odorant receptor 43a	
CG1856	FBan0001856	FBgn0003870	ttk	tramtrack	FBgn0011319,FBgn0011402,FBgn0011681,FBgn0039865,FBgn0039866
CG1857	FBan0001857	FBgn0002930	nec	necrotic	FBgn0024292,FBgn0028676,FBgn0033148,FBgn0063807
CG1859	FBan0001859	FBgn0044011	Spn43Ad	Spn43Ad	FBgn0033147
CG10090	FBan0010090	FBgn0038018	Tim17a1	Tim17a1	
CG10091	FBan0010091	FBgn0038020	GstD9	Glutathione S transferase D9	
CG10092	FBan0010092	FBgn0037526	CG10092	CG10092	
CG10093	FBan0010093	FBgn0038007	Cyp313a3	Cyp313a3	
CG10094	FBan0010094	FBgn0038006	Cyp313a2	Cyp313a2	
CG10095	FBan0010095	FBgn0037993	dpr15	dpr15	
CG10096	FBan0032919	FBgn0038032	CG10096	CG10096	FBgn0044571,FBgn0052919
CG10097	FBan0032919	FBgn0038033	CG10097	CG10097	FBgn0044571,FBgn0052919
CG10098	FBan0010098	FBgn0037472	CG10098	CG10098	
CG18730	FBan0018730	FBgn0000079	Amy-p	Amylase proximal	FBgn0014457,FBgn0035652,FBgn0042197
CG18731	FBan0018731	FBgn0042213	CG18731	CG18731	
CG18734	FBan0018734	FBgn0004598	Fur2	Furin 2	FBgn0042227
CG18735	FBan0018735	FBgn0042098	CG18735	CG18735	
CG1862	FBan0001862	FBgn0040324	Ephrin	Ephrin	FBgn0039910
CG1863	FBan0001863	FBgn0033435	CG1863	CG1863	
CG1864	FBan0001864	FBgn0014859	Hr38	Hormone receptor-like in 38	FBgn0010510
CG1865	FBan0001865	FBgn0024293	Spn43Ab	Serine protease inhibitor 43Ab	FBgn0033146,FBgn0063808
CG2595	FBan0002595	FBgn0045843	RacGAP84C	RacGAP84C	FBgn0060294
CG1866	FBan0001866	FBgn0039581	Moca-cyp	Moca-cyp	FBgn0045066,FBgn0045067,FBgn0045068,FBgn0046249
CG1867	FBan0001867	FBgn0039582	Or98b	Odorant receptor 98b	
CG1868	FBan0001868	FBgn0033427	CG1868	CG1868	
CG1869	FBan0001869	FBgn0035398	CG1869	CG1869	
CG18740	FBan0018740	FBgn0002783	mor	moira	FBgn0025464,FBgn0042208
CG18741	FBan0018741	FBgn0015129	DopR2	Dopamine receptor 2	FBgn0042212
CG18743	FBan0018743	FBgn0013276	Hsp70Ab	Heat-shock-protein-70Ab	FBgn0001231,FBgn0042100
CR31162	FBan0031162	FBgn0051162	CR31162	CR31162	FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060056
CG18744	FBan0018744	FBgn0042101	CG18744	CG18744	
CG18745	FBan0018745	FBgn0042102	CG18745	CG18745	
CG18746	FBan0018746	FBgn0042103	CG18746	CG18746	
CG18747	FBan0018747	FBgn0042104	CG18747	CG18747	
CR31165	FBan0031165	FBgn0051165	CR31165	CR31165	FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060059
CR31166	FBan0031166	FBgn0051166	CR31166	CR31166	FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060058
CG18749	FBan0031188	FBgn0042182	CG18749	CG18749	FBgn0037557,FBgn0051188
CR31167	FBan0031167	FBgn0051167	CR31167	CR31167	FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060057
CG1871	FBan0001871	FBgn0011586	e(r)	enhancer of rudimentary	FBgn0030068
CG1873	FBan0001873	FBgn0000557	Ef1&agr;100E	Elongation factor 1&agr;100E	
CG1874	FBan0001874	FBgn0033425	CG1874	CG1874	
CG1877	FBan0001877	FBgn0015509	lin19	lin-19-like	FBgn0020308,FBgn0022252
CG1878	FBan0001878	FBgn0000278	CecB	Cecropin B	
CG9000	FBan0009000	FBgn0034176	CG9000	CG9000	
CG18754	FBan0018754	FBgn0042106	CG18754	CG18754	
CG9001	FBan0009001	FBgn0034175	CG9001	CG9001	
CG9002	FBan0033142	FBgn0050462	CG9002	CG9002	FBgn0034174,FBgn0053142
CG9003	FBan0009003	FBgn0033639	CG9003	CG9003	
CG9004	FBan0009004	FBgn0035336	CG9004	CG9004	
CG9005	FBan0009005	FBgn0033638	CG9005	CG9005	FBgn0063271
CR30449	FBan0030449	FBgn0050449	CR30449	CR30449	FBgn0050221
CG9006	FBan0009006	FBgn0021848	l(2)k14708	lethal (2) k14708	FBgn0033637
CG9007	FBan0009007	FBgn0036398	CG9007	CG9007	
CG9009	FBan0009009	FBgn0027601	CG9009	CG9009	
CG1882	FBan0001882	FBgn0033226	CG1882	CG1882	
CG1883	FBan0001883	FBgn0039757	RpS7	Ribosomal protein S7	
CG1884	FBan0001884	FBgn0033424	CG1884	CG1884	FBgn0026000,FBgn0062162
CG1885	FBan0001885	FBgn0030066	CG1885	CG1885	
CG1886	FBan0001886	FBgn0030343	ATP7	ATP7	
CG1887	FBan0001887	FBgn0035290	CG1887	CG1887	
CG1888	FBan0001888	FBgn0033421	CG1888	CG1888	
CG1889	FBan0001889	FBgn0030164	CG1889	CG1889	
CR30451	FBan0030451	FBgn0011850	tRNA:E4:56Fc	transfer RNA:glu4:56Fc	FBgn0003771,FBgn0011846,FBgn0050451,FBgn0060239
CR30452	FBan0030452	FBgn0050452	CR30452	CR30452	FBgn0011922,FBgn0050216,FBgn0060140
CR30453	FBan0030453	FBgn0011848	tRNA:E4:56Fa	transfer RNA:glu4:56Fa	FBgn0003771,FBgn0011846,FBgn0050453,FBgn0060241
CG18764	FBan0018764	FBgn0042205	CG18764	CG18764	
CG9010	FBan0009010	FBgn0034173	CG9010	CG9010	FBgn0044749
CG18765	FBan0018765	FBgn0042110	CG18765	CG18765	
CR30454	FBan0030454	FBgn0050454	CR30454	CR30454	FBgn0060243
CG9012	FBan0009012	FBgn0000319	Chc	Clathrin heavy chain	FBgn0014972,FBgn0028268
CR30455	FBan0030455	FBgn0011849	tRNA:E4:56Fb	transfer RNA:glu4:56Fb	FBgn0003771,FBgn0011846,FBgn0050455,FBgn0060240
CG18766	FBan0018766	FBgn0042111	CG18766	CG18766	FBgn0039499
CG18767	FBan0018767	FBgn0042112	mRpL36	mitochondrial ribosomal protein L36	FBgn0063207
CR31185	FBan0031185	FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95Cc	FBgn0003915,FBgn0003918,FBgn0051185
CG9013	FBan0009013	FBgn0034169	CG9013	CG9013	
CG9014	FBan0009014	FBgn0028847	CG9014	CG9014	
CG18768	FBan0018768	FBgn0035808	SP2523	SP2523	FBgn0035809,FBgn0035810,FBgn0042181
